Référence	ContexteGauche	Pivot	ContexteDroit
roland, p. 218, v. 3018	e Rollant : L'un port l'espee e l'altre l'olifant, Si	chevalcez_|chevaucher|_VERcjg	el premer chef devant, Ensembl'od vos.XV. milie de Francs, De bachelers
roland, p. 220, v. 3054	siste eschele unt faite de Bretuns :.XXX. milie chevalers od els unt. Icil	chevalchent_|chevaucher|_VERcjg	en guise de baron, Peintes lur hanstes, fermez lur gunfanun. Le seignur
roland, p. 224, v. 3117	gaillart e ben seant, Cler le visage e de bon cuntenant. Puis si	chevalchet_|chevaucher|_VERcjg	mult aficheement. Sunent cil greisle e derere e devant ; Sur tuz les altres
roland, p. 224, v. 3121	bundist li olifant. Plurent Franceis pur pitet de Rollant. Mult gentement li emperere	chevalchet_|chevaucher|_VERcjg	. Desur sa bronie fors ad mise sa barbe. Pur sue amor altretel funt
roland, p. 228, v. 3178	forz e trait as anceisurs. Dist a sun perre : « Sire, car	cevalchum_|chevaucher|_VERcjg	! Mult me merveill se ja verrum Carlun » Dist Baligant : « Oïl,
roland, p. 228, v. 3195	proz ki sunet l'olifant : D'un graisle cler racatet ses cumpaignz E si	cevalcent_|chevaucher|_VERcjg	el premer chef devant, Ensembl'od els.XV. milie de Francs, De bachelers
roland, p. 230, v. 3214	la vit, Ne il n'en fut ne vestut ne saisit. Li amiraill	chevalchet_|chevaucher|_VERcjg	par cez oz. Sis filz le siut, ki mult ad grant le cors
roland, p. 230, v. 3234	quanqu'il poet De Mahumet les vertuz e le cors : « Karles de France	chevalchet_|chevaucher|_VERcjg	cume fols. Bataille i ert, se il ne s'en destolt ; Ja
roland, p. 232, v. 3264	.XXX. escheles i numbrent. Granz sunt les oz u cez buisines sunent. Paien	chevalchent_|chevaucher|_VERcjg	en guise de produme. AOI. Li amiralz mult par est riches hoem.
roland, p. 232, v. 3269	E l'estandart Tervagan e Mahum E un'ymagene Apolin le felun. Des Canelius	chevalchent_|chevaucher|_VERcjg	envirun ; Mult haltement escrient un sermun : « Ki par noz deus voel aveir
roland, p. 234, v. 3281	A sei apelet sis filz e les dous reis : « Seignurs barons, devant	chevalchereiz_|chevaucher|_VERcjg	. Mes escheles, tutes les guiereiz ; Mais des meillors voeill jo retenir treis
roland, p. 234, v. 3296	mi la pleine tere. Dist Baligant : « La meie gent averse, Car	chevalchez_|chevaucher|_VERcjg	pur la bataille quere ! L'enseigne portet Amborres d'Oluferne. Paien escrient,
roland, p. 236, v. 3316	li ad mustrees : « Veez l'orgoil de France la loee ! Mult fierement	chevalchet_|chevaucher|_VERcjg	li emperere. Il est darere od cele gent barbee : Desur lur bronies lur
roland, p. 236, v. 3344	li ad fait.IIII. salz. Dient Franceis : « Icist reis est vassals !	Chevalchez_|chevaucher|_VERcjg	, bers ! Nul de nus ne vus falt. » Clers fut li jurz
roland, p. 242, v. 3421	La bataille est de merveillus destreit. AOI. E Malpramis par mi le camp	chevalchet_|chevaucher|_VERcjg	; De cels de France i fait mult grant damage. Naimes li dux fierement
roland, p. 244, v. 3455	. Li empereres li ad dit a cunseill : « Bel sire Naimes, kar	chevalcez_|chevaucher|_VERcjg	od mei ! Morz est li gluz ki en destreit vus teneit ; El cors
roland, p. 244, v. 3463	i ad celoi n'i fierge o n'i capleit. AOI. Li amiralz	chevalchet_|chevaucher|_VERcjg	par le camp, Si vait ferir le cunte Guineman. Cuntre le coer li
roland, p. 258, v. 3695	gisent li baron. Francs les cumandent a Deu e a ses nuns. Carles	cevalchet_|chevaucher|_VERcjg	e les vals e les munz ; Entresqu'a Ais ne volt prendre sujurn.
roland, p. 258, v. 3697	les vals e les munz ; Entresqu'a Ais ne volt prendre sujurn. Tant	chevalchat_|chevaucher|_VERcjg	qu'il descent al perrun. Cume il est en sun paleis halçur, Par
gormont, p. 32, v. 500	sanz redutee ; ariere tornent les estrees. Lowis ad sa gent jostee ; emmi	chevacha_|chevaucher|_VERcjg	l'emperrere, quant Sarrazin li tresturnerent. La veissiez tant cop d'espee e
guill1, p. 10, v. 174	terre e en mer. Se tant as homes que tu i puisses fier,	Chevalche_|chevalche|_VERcjg	encuntre, si va od els juster ; Ben les veintrun solunc la merci Deu
guill1, p. 64, v. 1522	od espee de lez ? Par mi cel tertre vei mun seignur aler ; Vilment	chevalche_|chevaucher|_VERcjg	a bataille champel, Od lui n'ameine nul sun ami charnel, Fors Deu
guill1, p. 78, v. 1880	alé. » Ad a cel colp sa bone espee mustré. Li bers Willame	chevalche_|chevaucher|_VERcjg	par le champ, Sa espee traite, sun healme va enclinant ; Les pez
guill1, p. 82, v. 1981	» Lores fu mecresdi. Ore out vencu sa bataille Willame. Li quons Willame	chevalche_|chevaucher|_VERcjg	par le champ, Tut est irez e plein de maltalant, Rumpit les laz
guill1, p. 88, v. 2176	qu'il s'en turt, lur getad morz set vinz. Li quons Willame	chevalche_|chevaucher|_VERcjg	par grant ferté, Cum prouz quons de grant nobilité, E Alderufe se jut
guill1, p. 90, v. 2229	desfermer, Car il est sul, od lui n'ad home né, Si	chevalche_|chevaucher|_VERcjg	un alferant tel, Il n'ad si bon en la crestienté, N'en
guill1, p. 98, v. 2424	Par main a l'albe munte sur tun destrer, Dreit a Loun pense de	chevalcher_|chevaucher|_VERinf	A l'emperere qui nus solt aver chiers, Qui del socurs nus vienge ça
guill1, p. 109, v. 2749	vit un Flamenc ester ; Gent out le cors, eschevi e mollé, Si	chevalche_|chevaucher|_VERcjg	un destrer abrivé. Il li comandat que alt pur le tinel. « Volenters
guill1, p. 110, v. 2781	, Ne garrad pé quant jo l'ai recovré. Lunsdi al vespre. Car	chevalchez_|chevaucher|_VERcjg	, si alum bataille quere ! Quant nus vendrum en l'Archanp en la presse
guill1, p. 111, v. 2790	E les vassals s'afichouent es seles E as destrers abrivez de Chastele. Villame	chevalche_|chevaucher|_VERcjg	les pius e les vals E les muntaines, que pas ne se targat ;
guill1, p. 119, v. 3019	rei errer, Nez fud de Cordres, si out a nun Ailred, E	chevalchout_|chevalchout|_VERcjg	un destrer abrived. E Reneward le feri del tinel, Tut le bruse,
guill1, p. 121, v. 3089	Sarizins mener. » Devant lui garde, si veit un rei errer, E	chevalche_|chevaucher|_VERcjg	un destrer sojurné, E il li donad al front de sun tinel ; Tut
guill1, p. 122, v. 3115	en ere pensé. » Devant lui garde, vit le rei Corduel, E	chevalcholt_|chevalcholt|_VERcjg	un destrer abrivé ; Dunc li curt sure Reneward al tinel, Bute le al
guill1, p. 137, v. 3532	Qui me peust achater a lur talant, Quant par la feire vint li reis	chevalchant_|chevaucher|_VERppa	. Il me esgardeit, si me vit bel enfant, Si me achatad mil
thebes1, p. 5, v. 129	car li enfes qui en haut pent avra secours prochainement. Par icel bois vet	chevauchant_|chevaucher|_VERppa	, si com Fortune vet menant, li rois de Phoces la cité qui a
thebes1, p. 20, v. 609	Ce fu en may, par un matin, Polinicés tint son chemin. Pollinicés	chevauche_|chevaucher|_VERcjg	sex, mout fu pensis et pooureux, car il ne set certeinement ou puisse
thebes1, p. 20, v. 621	est donnez, et deprie les dex forment qu'il le conduient sauvement. Tant	chevaucha_|chevaucher|_VERcjg	par les montaingnes, par les combes et par les plaingnes, que par chemins
thebes1, p. 20, v. 624	et par les plaingnes, que par chemins, que par sentiers, dis jourz	chevauche_|chevaucher|_VERcjg	touz entiers. Jouste une mer vet chevauchant, mes la mer vet si tempestant
thebes1, p. 20, v. 625	, que par sentiers, dis jourz chevauche touz entiers. Jouste une mer vet	chevauchant_|chevaucher|_VERppa	, mes la mer vet si tempestant que nus homs ne savroit conter quel ele
thebes1, p. 21, v. 646	de toutes parz acoru. Pollinicés, pour le tempier, ne lesse pas son	chevauchier_|chevaucher|_VERinf	, ainçois atent presente mort por le tempier qu'il voit si fort. Par
thebes1, p. 21, v. 649	mort por le tempier qu'il voit si fort. Par mi un bois vet	chevauchant_|chevaucher|_VERppa	, fieres bestes vet encontrant : gripons, serpanz, guivres, dragons, lieparz
thebes1, p. 22, v. 671	ore est rois de la cité ; les Griex i tient par poëté. Cil	chevauche_|chevaucher|_VERcjg	tot droitement a l'escharboucle qui resplent. Jusqu'a Arges est parvenuz, pales
thebes1, p. 22, v. 687	arbre, car il estoit touz fez de marbre. Il fu mout las de	chevauchier_|chevaucher|_VERinf	si conmença a soumeillier. Atant estes vous Thideüs qui de Cassidoine fu dus,
thebes1, p. 32, v. 1000	coupe d'or fin. Quant ont beü li chevalier qui sont tuit las de	chevalchier_|chevaucher|_VERinf	, li lit sunt fet si vont dormir et les puceles eulz couvrir ; car
thebes1, p. 33, v. 1033	reposer veul ; tant ai traveillié tout m'en deul, et ne pourrai mes	chevauchier_|chevaucher|_VERinf	ne mal sousfrir ne traveillier. Vous estes jeunes bacheler, si pouez bien mal
thebes1, p. 39, v. 1244	chemin s'en est entrez. Deÿphilé remest plorant, et il s'en torne	chevauchant_|chevaucher|_VERppa	. Sa fame pleure, crie et bret pour son seingnor qui la en vet
thebes1, p. 40, v. 1255	Thideüs est ja tant alé qu'il est ja pres de la cité. Tant	chevaucha_|chevaucher|_VERcjg	et jor et nuit a fain, a soif et a dur lit, q'
thebes1, p. 40, v. 1267	. Entrez s'en est en la cité et le palés a demandé. Il	chevauche_|chevaucher|_VERcjg	par mi la rue, chevaliers treuve ses salue : « Seingnors, dist il
thebes1, p. 41, v. 1279	» Court y ot grant de chevaliers, la vet tot droit li mesagiers.	Chevauchant_|chevauchant|_VERppa	vet isnelement et se contient seürement. A la porte vint Thideüs, par la
thebes1, p. 47, v. 1492	soutive poterne qui fu a val devers galerne, les escuz as cox senglement pour	chevauchier_|chevaucher|_VERinf	legierement. Cinquante furent compaingnon, n'i ot escuier ne garçon. Chascun des
thebes1, p. 48, v. 1522	aillors passer ne puet. Cil ont pourpris le pas devant, et Thideüs vint	chevauchant_|chevaucher|_VERppa	. Li soleuz ert ja esconssez et li jourz ert touz avesprez. La lune
thebes1, p. 58, v. 1827	hom est navrez a mort et n'a qui ses armes li port. Mout	chevauchoit_|chevaucher|_VERcjg	a grant dolor, ne pot chevauchier a greingnor. Nonpourquant tant a chevalchié le
thebes1, p. 58, v. 1828	a qui ses armes li port. Mout chevauchoit a grant dolor, ne pot	chevauchier_|chevaucher|_VERinf	a greingnor. Nonpourquant tant a chevalchié le grant chemin et le charchié par la
thebes1, p. 58, v. 1829	Mout chevauchoit a grant dolor, ne pot chevauchier a greingnor. Nonpourquant tant a	chevalchié_|chevaucher|_VERppe	le grant chemin et le charchié par la contree que miex sot, en Gresce
thebes1, p. 63, v. 2006	et du siege bien se conroie. Cil devin treuvent en lor sors que Grieu	chevauchent_|chevaucher|_VERcjg	a esfors. Et il chevauchent voirement, Adrastus a mandé sa gent. Qui
thebes1, p. 63, v. 2007	. Cil devin treuvent en lor sors que Grieu chevauchent a esfors. Et il	chevauchent_|chevaucher|_VERcjg	voirement, Adrastus a mandé sa gent. Qui de lui tient ne fié ne
thebes1, p. 66, v. 2097	t'iert, se les puez prendre et a ton gendre s'ennor rendre.	Chevauche_|chevaucher|_VERcjg	toi, ne croi en sort, car a ton jour vendra ta mort.
thebes1, p. 68, v. 2149	Quant il orent cest conseil pris, a la voie se resont mis. Thideüs	chevauchoit_|chevaucher|_VERcjg	premiers qui des Griex iert gonfanoniers. Devant en vet o sa compaingne jouste le
thebes1, p. 68, v. 2161	devant en vont querre riviere, et toute l'ost les suit arriere. Tant	chevauchierent_|chevaucher|_VERcjg	soir et main Grieu tuit ensemble bois et plain, onques n'i ot regne
thebes1, p. 68, v. 2167	. Li soleux iert auques bien bas et li Grieu mout durement las. Mout	chevauchoient_|chevaucher|_VERcjg	a grant paine quant aventure les amaine a un vergier qui mout ert gent ;
thebes1, p. 90, v. 2857	Cil de Thebes sunt hors issu, bien sont soissante mile escu. Vers toi	chevauchent_|chevaucher|_VERcjg	a grant ire pour les passages contredire. » Quant li rois la nouvele oÿ
thebes1, p. 92, v. 2944	lui vont li cheval, rient et gabent li vassal. Unne jornee toute entiere	chevauchierent_|chevaucher|_VERcjg	par la riviere et descendirent en cel val, souz un chastel pristrent ostal.
thebes1, p. 109, v. 3491	ses houmes reconforter qu'il a veüz pour lui pasmer. Mout se paine de	chevauchier_|chevaucher|_VERinf	, mat sunt et las de trop veillier. Ypomedon est mout voiseux, de
thebes1, p. 116, v. 3707	, sonent les cors, li rois s'en ist o son esfors. Thideüs	chevauche_|chevaucher|_VERcjg	devant sor un mout bon destrier ferrant ; droit a Thebes par les montaingnes conduit
thebes1, p. 116, v. 3711	ferrant ; droit a Thebes par les montaingnes conduit de Gresce les compaingnes. Tant	chevauchierent_|chevaucher|_VERcjg	que la vindrent, onques ainçois regne ne tindrent. Souz la cité, en
thebes1, p. 127, v. 4069	d'un fil d'argent furent trecié, pendoient lui jusques au pié. Et	chevauchoit_|chevaucher|_VERcjg	un palefroi que l'autrier li tramist un roi. Mout bien emblant et bien
thebes1, p. 128, v. 4097	Les manches sont bien engolees ; a terre touchent, tant sont lees. Desfublee	chevauche_|chevaucher|_VERcjg	Ysmaine le palefroi Athon demaine. Sor son poing tint un esprevier qu'el put
thebes1, p. 128, v. 4105	Mout vet bien vestue el mesage, coume dame de son parage. Unne mule	chevauchoit_|chevaucher|_VERcjg	brune, onc ne veïstes meillor une. O les dames troi danzel vont,
thebes1, p. 129, v. 4125	fu sages, preuz et cortois, vestuz en guise de François. Un mul	chevauchoit_|chevaucher|_VERcjg	espanois, de par biauté semble bien rois. Souz ciel n'a fame,
thebes1, p. 132, v. 4207	, ainz vosissant, que li olz fust granz piece avant. Par l'ost	chevauchent_|chevaucher|_VERcjg	les puceles, et dient tuit que mout sunt beles. Pour les veoir issent
thebes1, p. 172, v. 5501	. Melandus estoit dus de Baile ; unne enseingne ot qui fu de paile et	chevauche_|chevaucher|_VERcjg	avant sa compaingne le tret d'un arc par la champaingne ; un cheval ot
thebes1, p. 179, v. 5714	son frere encontre en la place ; ne se cognurent pas andui, cil li	chevauche_|chevaucher|_VERcjg	, et cist a lui. Si com l'aventure ert a estre, ambedui
thebes1, p. 181, v. 5800	, unne enseingne ot en som fermee. Thideüs treuve sel remire, vers lui	chevauche_|chevaucher|_VERcjg	par grant ire. Thideüs desarmez le vit, ganchi li a, puis si
thebes1, p. 182, v. 5812	desarmez es et tousiaux, et si seras mout preuz, ce croi, quant	chevauchier_|chevaucher|_VERinf	osas vers moi. Pour ce ne te veul pas ocire ; ta mere en
thebes2, p. 8, v. 6287	issi hors. O lui issi Sylacïel, qui fu du linage Ysrael, et	chevaucha_|chevaucher|_VERcjg	un cheval grile, que dui larron trestrent d'une ille : a Thebes vindrent
thebes2, p. 12, v. 6443	les granz tormenz ; vous me faisïez reposer et soulïez souvent choser quant je vouloie	chevauchier_|chevaucher|_VERinf	; car vous m'avïez itant chier ne voulïez que mal treïsse ne que de
thebes2, p. 30, v. 7013	met en voie et si esploite tost sa voie. Par le gaut fist mal	chevauchier_|chevaucher|_VERinf	; qui pain y ot, si l'ot mout chier : en leur route
thebes2, p. 30, v. 7017	leur route rien ne porterent, se ice non que il trouverent. Cinc jourz	chevauchent_|chevaucher|_VERcjg	a martire, n'i veïssiez jouer ne rire, car li pluseur de fain
thebes2, p. 31, v. 7044	vendront, la contree nos desfendront que ja nus le pié n'i metroit.	Chevauchiez_|chevaucher|_VERcjg	, font il, a esploit ; au matin, ainz eure de prime,
thebes2, p. 31, v. 7051	lonc plet : si conme il dient, si l'ont fet. La nuit	chevauchent_|chevaucher|_VERcjg	a la lune et la matinee fu brune ; celeement passent l'entree si s'
thebes2, p. 34, v. 7153	: s'il vous plesoit, par autre voie a sauveté vous en menroie.	Chevauchons_|chevaucher|_VERcjg	a nuit a la lune et si nos metons en Valbrune ; li mont sont
thebes2, p. 38, v. 7281	. Contre sa gent issi li rois et le barnage des Grejois ; li rois	chevauche_|chevaucher|_VERcjg	o grant barnage par la pree lez le rivage ; grant joie orent quant s'
thebes2, p. 69, v. 8279	vient et il a semons pour cest afaire les barons ; il s'aprestent du	chevauchier_|chevaucher|_VERinf	, montent et s'en vont embuchier. O lui en vont tieus dis ou
thebes2, p. 71, v. 8329	et plus. Laertés de Lacedemoine pour sa plaie n'i quist essoine, ainz	chevaucha_|chevaucher|_VERcjg	a quelque paine ; mil chevaliers conraez mainne. D'Archage i fu rois Agenor
thebes2, p. 71, v. 8333	i fu rois Agenor ; d'or et d'argent ot grant tresor ; de	chevauchier_|chevaucher|_VERinf	ne fu pas lenz. Cil en mena mil et cinc cenz. Anthenor,
thebes2, p. 72, v. 8353	; cil est as autres en l'afaire pour les trente mile parfaire. Cil	chevauchierent_|chevaucher|_VERcjg	a la lune si s'embuchierent en Valbrune, en la forest de Malpertus ou
thebes2, p. 74, v. 8430	, de retorner ne li soit tart. Li premerain sont mout alé, de	chevauchier_|chevaucher|_VERinf	se sont hasté ; l'aguet passent, ne s'aperçurent. Cil passerent,
thebes2, p. 81, v. 8647	Ceus de la vile escrier vont et, ce sachiez, desarmez sont. Parthonopieus	chevauche_|chevaucher|_VERcjg	as trois ; avenant chose a fet li rois : ne volt soi tierz jouster
thebes2, p. 81, v. 8669	roi, de son ami a grant esfroi ; l'un vit vers l'autre	chevauchier_|chevaucher|_VERinf	, ne set le quel ele ait plus chier, mes ce set bien en
thebes2, p. 92, v. 9020	seignor ; li quens ot mout le cheval chier, car mout est bons a	chevauchier_|chevaucher|_VERinf	: plus est isniax que arondele. Riche frain ot et riche sele ; il
thebes2, p. 113, v. 9688	, qui mout iert bien apareillie, tuit estoient issuz de l'ost, estroit	chevauchoient_|chevaucher|_VERcjg	et tost ; bien ierent vint mile, ce croi, que Pollonicés ot o
thebes2, p. 129, v. 10219	; touz seulz s'en afuient il dui la ou cuident avoir refui. Avant	chevauchoit_|chevaucher|_VERcjg	Adrastus le tret d'un arc, ne gueres plus ; loing regarde, l'
thebes2, p. 132, v. 10297	; il ert d'Athaines nobles dus et si avoit non Theseüs. Li dus	chevauche_|chevaucher|_VERcjg	noblement et si conduit mout bien sa gent. Rois Adrastus avant aloit o l'
thebes2, p. 134, v. 10371	aserrai en sa cité. » Atant s'en sont li mes torné. Tant	chevauchent_|chevaucher|_VERcjg	le droit chemin qu'a Thebes vindrent le matin ; entrez s'en sont en
thebes2, p. 136, v. 10434	premiers u mi lieu de ses chevaliers ; tuit li autre font ensement, puis	chevauchent_|chevaucher|_VERcjg	mout fierement. Rois Adrastus aprés venoit, qui l'ost des dames conduisoit.
brut2, p. 625, v. 12009	Unkes ne pristrent fin ne cesse Dissi qu'il vindrent en la presse U Petreïus	chevalchot_|chevaucher|_VERcjg	Ki les meisnies guvernot. Bos le cunut, juste lui puinst, Lur dous
brut2, p. 631, v. 12121	del païs les cundueient, Qui les dreites veies saveient. Tute nuit unt tant	chevalchié_|chevaucher|_VERppe	E chevalchant tant espleitié, El chemin de Paris entrerent, Un lieu cuvenable troverent
brut2, p. 631, v. 12122	les cundueient, Qui les dreites veies saveient. Tute nuit unt tant chevalchié E	chevalchant_|chevaucher|_VERppa	tant espleitié, El chemin de Paris entrerent, Un lieu cuvenable troverent A faire
brut2, p. 631, v. 12128	lur enbuschement ; Iloc s'esturent coiement. Es vus el mein la gent Arthur	Chevalchant_|chevaucher|_VERppa	alques aseür, E nequedent agueit dutoent ; En dous cumpaignes chevalchoent. Chador e
brut2, p. 631, v. 12130	la gent Arthur Chevalchant alques aseür, E nequedent agueit dutoent ; En dous cumpaignes	chevalchoent_|chevaucher|_VERcjg	. Chador e Borel od lur gent Chevalchoent premierement, Li quens Richier e Beduer
brut2, p. 631, v. 12132	nequedent agueit dutoent ; En dous cumpaignes chevalchoent. Chador e Borel od lur gent	Chevalchoent_|chevaucher|_VERcjg	premierement, Li quens Richier e Beduer, Ki les prisuns durent garder, Od
brut2, p. 733, v. 14017	D'une guise furent chalcié E d'une guise apparaillié. Quant il porent bien	chevalchier_|chevaucher|_VERinf	, Escuz porter, lances baillier, Chevals bien puindre e bien tenir, Espees
brut2, p. 739, v. 14131	e sa terre volt defendre, Ne deigna pais ne triewes prendre. Cuntre Cadwalein	chevalcha_|chevaucher|_VERcjg	Sil venqui e desbareta ; E Chatwalein s'en volt aler E en sa terre
brut2, p. 751, v. 14369	pris. Li reis, de Brien anguissus, E de succurre curius, Tant	chevalcha_|chevaucher|_VERcjg	od ses vassals Que bois, que plains, que munz, que vals,
brut2, p. 753, v. 14405	les out tuz od sei Que par humages, que par fei. Cuntre Chadwalein	chevalcha_|chevaucher|_VERcjg	E Chadwalein nel reduta. En un champ ki Helfelde ad nun Fud la bataille
