UUID,REF,LCX,KEYWORDS,RCX,lemma_bfm,pos_bfm
43e59a13-f1b8-48f4-bf14-f44a5f6f85a1,"floire_jl, p. 22, v. 123",". A Naples , a la cité bele , est de lui venue novele c'",arivé,"sont lié et joiant , ce dient cil qui vont devant . Cil de la",VERppe,|arriver|
abb37bc6-04c5-4346-8e8b-b582d45dfcf6,"floire_jl, p. 22, v. 128",a l' encontrer grant joie font . Tot se font lié de lor amis c',arivé,sont en lor païs . Es vos le roi en la cité . Son barnage,VERppe,|arriver|
1cab466c-d7d2-48d6-aa32-c79b78dcec92,"floire_jl, p. 54, v. 1391",tos plains par mer erra que nule terre ne trova . Au nueme jor sont,arivé,"tot droit a Baudas la cité , qui sist sor une roce bise , desor",VERppe,|arriver|
b591a9a0-444b-45b0-94b2-826f07418ddb,"floire_jl, p. 58, v. 1544","l' a acatee . » Trestot ensi li a conté , tant que il furent",arivé,", o lui l' a le nuit herbergié , tant c' au matin a pris",VERppe,|arriver|
b1cfea67-6133-497b-ade6-82379ffca87f,"mf, GUIGEMAR, p. 10, v. 164",En la cuntree nel païs N' out unkes mes oï parler Ke nefs i peüst,ariver,". Avaunt alat , si descent jus , A graunt anguisse munta sus . Dedenz",VERinf,|arriver|
a6c614b9-8dff-4292-9e72-699effd40606,"mf, GUIGEMAR, p. 11, v. 205",", si s' endort . Hui ad trespassé le plus fort : Ainz le vesprë",ariverat,"La ou sa guarisun avrat , Desuz une antive cité , Ki esteit chiefs de",VERcjg,|ariverat|
c18159e6-c275-420a-935b-428d0d98d506,"mf, GUIGEMAR, p. 15, v. 331",! Od mei s' en est la neifs ravie ; Ne sai u jeo sui,arivez,", Coment ad nun ceste citez . Bele dame , pur Deu vus pri ,",VERppe,|ariver|arriver|
b0988efa-e666-4057-a938-214a3958be84,"mf, GUIGEMAR, p. 27, v. 698",Pur sun enemi damagier . A une fenestre s' estot E vit la neif ki,arivot,". Il descendi par un degré , Sun chamberlein ad apelé ; Hastivement a la",VERcjg,|arivot|
28b71d41-28b1-428e-b771-c61daf7fc5a3,"mf, YONEC, p. 113, v. 369","l' autre part , vers le dunjun , Curt une ewe tut envirun ; Ileoc",arivoent,"les nefs , Plus i aveit de treis cenz tres . La porte aval fu",VERcjg,|arivoent|
196d4205-36aa-4bba-8f7a-96fe8fb5b506,"mf, MILUN, p. 136, v. 319",vait passer ; Cum il ainz pot se mist en mer . A Barbefluet est,arivez,", Dreit en Brutaine en est alez . La despendi e turneia , As riches",VERppe,|ariver|arriver|
b521f50d-5b48-4c7d-a40b-93d9c1bff8cd,"mf, ELIDUC, p. 158, v. 88","tut avant , A la mer vient , si est passez , En Toteneis est",arivez,". Plusurs reis i ot en la tere , Entre eus eurent estrif e guere",VERppe,|ariver|arriver|
8bb613cf-662d-4fec-b536-9a2639bc981c,"mf, ELIDUC, p. 178, v. 761","mist , plus n' i atent ; Utre furent hastivement . En la cuntree est",arivez,U il esteit plus desirez . Elidus fu mut veizïez : Luin des hafnes s',VERppe,|ariver|arriver|
e7e0689a-44fb-4ea1-add0-d3a960cce9f7,"mf, ELIDUC, p. 180, v. 815",vent eurent e bon oré E tut le tens aseüré . Mes quant il durent,ariver,", Une turmente eurent en mer E un vent devant eus leva , Ki luin",VERinf,|arriver|
9192bc6a-e83b-4668-b772-1bf2b3f8c0a4,"mf, ELIDUC, p. 181, v. 840",dreiture e cuntre fei ; Lessiez la nus geter en mer ! Si poüm sempres,ariver,". » Elidus oï que cil dist , A poi que d' ire nen esprist",VERinf,|arriver|
9a8bedbc-2777-4e91-8f7d-09317972e6a0,"mf, ELIDUC, p. 182, v. 869","e tint , Le hafne prist , a tere vint . Quant il furent bien",arivé,", Le pont mist jus , ancre ad geté . Encor jut ele en paumeisun",VERppe,|arriver|
bcb04164-846e-49e3-9fb2-72916490c6ee,"CommPsia1a, p. 111",", fait ele , sunt tot desturbé . Ço est granz mals qui es os",arive,". Mais por ço ke alcuns ne l' entendist des os del cors , dit",VERcjg,|ariver|arriver|
08af0201-dd18-4d40-b993-94c5d5724d74,"becket, p. 64, v. 2082","vint li ber , a Sandwiz eschipa . Entre Gravnige e Merc tart al seir",ariva,". Ne pout aler a pié , car mult tost s' alassa . Uns granz",VERcjg,|arriver|
86d6cf60-b9a0-4fe8-b1ef-3802a96c06bc,"becket, p. 65, v. 2123","conduit , qu' il seit ultre passez Par Flandres , u il est venuz e",arivez,"; Car d' Engleterre esteit priveement turnez Pur le rei sun seignur , vers qui",VERppe,|ariver|arriver|
f82e1c2a-6c7f-43e0-9421-f155e1e00ebd,"becket, p. 143, v. 4634","les porz cergier e guaitier e guarder , Que , se li arcevesques i volsist",ariver,", Qu' il li fussent encontre , prez de lui desturber , De destrusser ses",VERinf,|arriver|
5967443e-0c83-4adc-a0a3-195659142304,"becket, p. 143, v. 4664",apareilliez ; Par tuz les porz de la estes forment guaitiez . Se vus i,arivez,", tuz serez detrenchiez U mis en grant fermine e en chartre lanciez . -",VERppe,|ariver|arriver|
ff6fff92-e7e4-4acd-8595-8509089c4077,"becket, p. 145, v. 4701","pout trover , car Deus l' ad desturné . Roberz li segretains rest a Dovre",arivez,". Pris fu pur ço qu' il n' ot briés del rei aportez , E",VERppe,|ariver|arriver|
62e8377a-5569-4531-b2cb-ce9d509ecff3,"becket, p. 145, v. 4717",endemain en sa nef en entra . Deus li dona boen vent ; a Sanwiz,ariva,". Car l' ariver de Dovre pur l' aguait eschiwa , E a Sanwiz ,",VERcjg,|arriver|
bb7c52bf-7517-4df5-ae01-d99042ab86b8,"becket, p. 145, v. 4718",en entra . Deus li dona boen vent ; a Sanwiz ariva . Car l',ariver,"de Dovre pur l' aguait eschiwa , E a Sanwiz , qui suen esteit ,",VERinf,|arriver|
d250a9bd-6111-4aaa-95f8-4b17e2e8ce15,"becket, p. 145, v. 4722",li ala . Mais quant as treis reals fu mustré e nuncié Qu' il esteit,arivez,", mult en furent haitié . Od lur hummes se sunt d' armes apareillié ,",VERppe,|ariver|arriver|
eb1b8453-f990-44f4-8434-0059b9e53fb4,"BenDuc1b, p. 439, v. 14574",De comencier sa cruelté . En un chalan furent entré Trestuit li doze ensemblement E,arivé,"devers lor gent , E li dux s' en passout toz suls . Henris e",VERppe,|arriver|
b3335ed9-37bd-47ad-9ad0-5e23f4bb3d83,"BenDuc1b, p. 440, v. 14592","retorne senz ses genz . Toz fianços , senz riens doter , Refait sun chalan",ariver,. Cil orent ceinz les branz d' acer ; La lor covint Deu reneier U,VERinf,|arriver|
00d7fc65-2075-462a-a10a-fd12d13e94c6,"Fantosme, p. 34, v. 459",est tute sue qu' il ad demandee . » Quant ces messages sunt venuz e,arivez,"a terre , Dunc furent bien aseür de cumencier la guerre . Asez purrïez oïr",VERppe,|ariver|arriver|
34833bea-453f-4384-af5b-58bb2649734e,"Fantosme, p. 60, v. 814",noveles que nus avoms oï ? Li cuens de Leïrcestre nus ad tuz malbailli :,Arivez,"est en Arwelle , bien le sachiez de fi , E ad tensé la terre",VERppe,|ariver|arriver|
5d0c90ee-a842-4fd5-b4f5-6f6091a047d9,"Fantosme, p. 62, v. 822","S' il set ceste novele , mult iert de fier curage Ke li cuens seit",arivez,"e venuz a passage , Ne vus durrad sa triewe , s' il n' ad",VERppe,|ariver|arriver|
53178301-b3a1-4ef3-bd58-a337deefea0e,"Fantosme, p. 62, v. 826","Si Deus le volt e gree , jo desfrai l' ultrage . Mar i furent",arivez,de Flandres la salvage ! » Ore ad Richard de Luci fait cume sené :,VERppe,|ariver|arriver|
5e374b49-dd3e-4516-a0f3-ccb67a79929f,"Fantosme, p. 62, v. 835","li petit e li grant , Ke le cunte Robert est alé tant avant ;",Arivez,"en Sufolke , la terre vait tensant , Desi qu' en Dunewiz tut vait par",VERppe,|arivez|
166d7e20-a0c7-4d82-8a31-4869c2120e4b,"Fantosme, p. 122, v. 1627",", le rei de Saint Denis . Il quide si cunquerre trestuz ses enemis ;",Ariver,le verrez de ci qu' a quinze dis . » Ore est Richart de Luci,ADVgen,|ariver|
1284aca8-d4b2-45ef-ae6a-4a5a17858ef8,"Fantosme, p. 140, v. 1905","Par le mien escïent , ore oiez verité : Li reis d' Engleterrë fud dunkes",arivé,", E al matin a saint Thomas fud cel jur acordé Quant li reis des",VERppe,|arriver|
e82f8ece-3ba5-44d1-a0d6-f6aa45b54d3e,"thomas, p. 111, v. 2950",ço est la ren que plus desir . Plus coveit la vostre santé que d',ariver,"n' ai volenté ; car vers vus ai si fine amur , amis , dei",VERinf,|ariver|
42e7c757-dad9-4bd8-82fe-a92deb38aa69,"CligesKu, p. 55, v. 378","en avant De ma cort et de mes privez , Qu' a boen port estes",arivez,". » Atant se lievent li Grezois ; Lié sont , quant si les a",VERppe,|ariver|
a3fd6eab-4fee-4c3a-a3fd-5facb51e921b,"CligesKu, p. 63, v. 2413",i avoit grant assanblee Des hauz barons de la contree . Tantost qu' il furent,arivé,", Alixandres un suen privé Envoie an la cité savoir Se recet i porroit avoir",VERppe,|ariver|
15489707-2cbd-4432-8dca-5d2af3e4505d,"CharretteKu, p. 33, v. 1571","; Mout ai hui bien et droit nagié , Qu' a mout boen port sui",arivez,". Or sui ge toz descheitivez : De peril sui venuz a port , De",VERppe,|ariver|
461cd74c-7939-4a4a-8950-9bab453a444a,"CharretteKu, p. 52, v. 6658",estoit planteïs de tot Li leus et sains et mout privez . La est Lanceloz,arivez,", Et si tost com il fu venuz , Qant il fu de sa robe",VERppe,|ariver|
4a99d126-7e3f-424e-b07b-e393ceba18a1,"CharretteKu, p. 53, v. 6852",que voie et espit . boen leu et un plus privé Ou il soient mialz,arivé,Que il or ne sont a ceste ore . Li rois Lancelot mout enore Et,VERppe,|ariver|
dbecc99a-d8ed-44f1-9c85-ad5c815bf59c,"YvainKu, p. 99, v. 5174","Si li dit : « Venez tost , venez , Qu' an tel leu estes",arivez,"Ou vos seroiz bien retenuz , Et mal i soiez vos venuz . » Ensi",VERppe,|ariver|
3e45b667-82f3-4fcc-b3fc-530cd78e3c88,"eracle, p. 156, v. 5054","qu' ele se consire ; bien le metrai el biel deport , et g' iere",arivés,"a mal port qu' a paines m' en deporterai , ne mais de tant me",VERppe,|arriver|
c434b160-30f9-474c-9b7e-618b55b1c64a,"eracle, p. 170, v. 5527","cevaus lasser , por ce les font illuec passer . Quant d' autre part sont",arivé,", montent et sont tuit abrievé . Trespassent cele gent menue ; onques n' i",VERppe,|arriver|
08ba39ea-68c4-4929-b3a1-ce73e23dc90f,"BrutCist, p. 99, v. 122",enbracié e mult gabbé . De altre part li est nuncié Que en Escoce est,arivez,Cherdic li reis od sis cenz nefs . Né fu de une soer Artur ;,VERppe,|ariver|arriver|
7ca69664-5c3a-489a-b14d-73a561c0b4b6,"BrutCist, p. 99, v. 133",Vent unt mult bon e cillant ; Al tierz jor od lur esforz A Hamtone,arivent,"dreit as porz . Quant Artur oi que il est venu , Od grant joie",VERcjg,|ariver|arriver|
e988eaea-c57e-4b0b-90d5-a37038b90335,"BrutCist, p. 101, v. 185","pur ostage nel larunt . En halte mer sunt returné , E en Toteneis sunt",arivé,". La guere unt tost comencee : Tote deguastoent la contree , das lle ever",VERppe,|arriver|
cff4eae5-686d-4947-af27-e14edf119ee6,"SermMadn, p. 14",est mie mestiers ke je le die ci . Mais li Magdalaine et Sains Maxemiens,ariverent,"a Marseile et si prisent terre a preechier Marseile , et tot le roialme d'",VERcjg,|arriver|
98ba2471-5ff5-45a6-874f-a08a4dcbc942,"adgar, p. 218, v. 158",La nef corut a grant espleit . Vers Engleterre dreit alerent ; Sanz purluignance i,ariverent,". Elfsi en memorie tint La feste , dunt bien li sovint . A son",VERcjg,|arriver|
7a2e68e3-49d3-4c51-84f4-68f955d0d070,"adgar, p. 261, v. 174",", De cuer li cumanda sa vie . Sanz barat , sanz nul escandre Tost",ariva,en Alisandre . A merveilles i guaigna ; Un an entier i demura . Travailla,VERcjg,|arriver|
f3912017-0f76-4456-8158-35567b712cbc,"adgar, p. 262, v. 235","acunter , De Alisandre a Costantinoble , De la cité tant riche e noble ,",Ariva,l' escrin od l' aveir Ke cil out mis en mer le seir . Li,VERcjg,|ariva|
9ef111c9-2326-406c-832c-8839396f0da9,"graelent, p. 120, v. 705","ami , si l' en amaine ensanble o li . Quant d' autre part sont",arivé,", ses dras moulliés li a osté , de son mantel l' a afublé ,",VERppe,|arriver|
7b8e3ffe-8d0d-4687-9c03-1dd274d3dfbd,"melion, p. 308, v. 369","castel i ot jadis , mais ore estoit tos agastis , e qant il furent",arivé,", nuis estoit , si ert avespré . Li rois s' est al port arivés",VERppe,|arriver|
899090da-80d9-4d1b-85ea-3e2a309a92d0,"melion, p. 308, v. 371","arivé , nuis estoit , si ert avespré . Li rois s' est al port",arivés,", molt s' est traveilliés e penés , car la nef li ot fait grant",VERppe,|arriver|
0892ec04-20e8-4118-b80f-f5a4298d2d43,"conttyr_a, p. 26",orés aucune fois dire coment il la retint . En celui point que Conrat fu,arivés,"en Costantinople estoit Kyrsac empereres , et n' avoit mie encore les ziaus crevés .",VERppe,|arriver|
00d2a6a4-bcab-4de7-bc61-6723c5c9e16a,"conttyr_a, p. 60","irons . » Il firent voile . Et Dieu lor dona bon tens , et",ariverent,en Surie devant la cité d' Accre . Ensi delivra Deu le marquis de la,VERcjg,|arriver|
1014b822-ef31-4c50-bbf2-a94d407ca355,"conttyr_a, p. 60",Deu le marquis de la main des Griffons . En cel tens que il furent,arivés,"devant la cité d' Accre , il estoit costume en la devant dite cité que",VERppe,|arriver|
deee0c0c-4cc7-4f54-9cf1-95345e8c6f29,"conttyr_a, p. 60",estoit costume en la devant dite cité que on sonoit une canpane quant aucune nave,ariveit,"d' outremer , et une gamele aloit a la nave . Et grant piece avoit",VERcjg,|arriver|
ea08477f-1cc4-41d6-ae8a-5c3fa8c7fb7b,"conttyr_a, p. 60",nave . Et grant piece avoit que nave nen estoit venue . Quant le marquis,ariva,", il nen oï point de canpane soner , si fist geter une barche en",VERcjg,|arriver|
d05ea667-0c7f-46c8-aa5c-0eb45dc82d75,"conttyr_a, p. 60","la tor respondirent que ele estoit de Salahadin , et luer distrent que il venisent",ariver,en la fiance de Salahadin saus et seurs . Cil distrent que il n' ariveroient,VERinf,|arriver|
e952d59a-2efd-46de-9324-c56f2f3de779,"conttyr_a, p. 60",ariver en la fiance de Salahadin saus et seurs . Cil distrent que il n',ariveroient,"mie , puis que la vile estoit des Sarazins . Un renoié qui estoit dedens",VERcjg,|arriver|
68883e68-18bd-4727-8937-1f232132ad7f,"conttyr_a, p. 61","marquis en fu mout dolent , et fist faire voile d' iluec , et vint",ariver,"devant Sur . Quant il furent arivé devant Sur , les crestiens de la cité",VERinf,|arriver|
b2ed1cfe-a822-4eeb-a283-74333231e637,"conttyr_a, p. 61","fist faire voile d' iluec , et vint ariver devant Sur . Quant il furent",arivé,"devant Sur , les crestiens de la cité furent mout joiant quant Deu lor avoit",VERppe,|arriver|
4b5233ce-1ee8-4668-9ff8-9084d3e8f959,"conttyr_a, p. 61",Ne demora gaires apres que . naves de Pisans chargees de viandes et de gens,ariverent,"a Sur , dont les gens de la cité furent plus aseur . Salahadin veneit",VERcjg,|arriver|
3e8b7aec-8e53-47b1-98ef-0f7b1c7302a5,"villehardouin1, p. 102","fu volentiers oïe , que li estoires de Flandres dont vos avez oï arrieres ere",arivez,"a Marseille . Et Johans de Neele , chastellains de Bruges , qui ere chovetaines",VERppe,|ariver|arriver|
a5f52c24-ab13-4307-9bc4-88e035ff5b2f,"villehardouin1, p. 156",Il ne demandent mie chascuns qui doit aler devant ; mais qui ançois puet ançois,arive,". Et li chevalier issirent des uissiers , et saillent en la mer trosque a",VERcjg,|ariver|arriver|
cfcb3b6f-0ca9-4fa1-8ad5-96d9c1f88074,"belinc, p. 128, v. 4178","Amors en sa saissine , Qu' il ne mangüe ne ne dort ; Trop est",arivés,"a mal port . Amors le destraint et justice , Del tot le met a",VERppe,|arriver|
a508449c-5d8c-4d80-a480-1965555617fe,"clari, p. 13","alerent tant qu' il vinrent a une chité , Poles avoit a non . Illueques",ariverent,", si se rafreskirent , se y sejournerent un peu , tant qu' il furent",VERcjg,|arriver|
eda59f1c-ae9e-4a12-ba4e-cdd49232518d,"clari, p. 14",Si envoierent ches letres par boins messages au duc et as pelerins qui illueques estoient,arivé,". Quant li message vinrent a l' ost , si lut on les letres devant",VERppe,|arriver|
7a49c1e3-96e9-4f31-ac84-69bf8b5049e6,"clari, p. 42","tout armé , si se confesserent tout et quemenierent , car il doutoient molt a",ariver,par devers Coustantinoble . Aprés si ordenerent leur batailles et leur nes et leur uissiers,VERinf,|arriver|
15d746a7-eec7-4b63-9c0b-788a1f019c61,"clari, p. 43",ou li chevalier pooient issir hors a tere tot monté . Quant li estores fu,arivés,", et li Griu , qui s' estoient trait arriere , virent que il furent",VERppe,|arriver|
e8a712ce-8bbb-4f51-9372-09b59a1cae54,"clari, p. 70",", et Morchofles pooit bien veir es nes as pelerins . Quant li navies dut",ariver,", si prisent boins caauvles , si traisent leur nes au plus pres k' il",VERinf,|arriver|
1be1e1f7-a4ec-4079-8c26-42d87302f131,"clari, p. 72",et avoit li navies bien une grandesme liwe de front ; et quant il furent,arivé,"et il se furent trait au plus pres qu' il peurent des murs , si",VERppe,|arriver|
c566ee5d-2dd4-4806-b4a1-56ec098bf443,"aucassin, p. 29, v. 19","grande et mervelleuse , qui les mena de tere en tere , tant qu' il",ariverent,en une terre estragne et entrerent el port du castel de Torelore . Puis demanderent,VERcjg,|arriver|
38d78320-9628-4356-a874-508e8e861668,"aucassin, p. 33, v. 10",les espartist . Li nes u Aucassins estoit ala tant par mer waucrant qu' ele,ariva,"au castel de Biaucaire ; et les gens du païs cururent au lagan , si",VERcjg,|arriver|
c1435e76-d449-4111-8763-86e387384ad5,"aucassin, p. 34, v. 15","ele estoit , car ele fu pree petis enfes . Il nagierent tant qu' il",ariverent,"desox le cité de Cartage , et quant Nicolete vit les murs del castel et",VERcjg,|arriver|
f16e22a0-6f58-4b8d-825e-d7657529858a,"aucassin, p. 35, v. 2","le cité . OR SE CANTE . Nichole li preus , li sage , est",arivee,"a rivage , voit les murs et les astages et les palais et les sales",VERppe,|arriver|
bd844b9a-f69e-4570-a227-1614d0453ff3,"aucassin, p. 36, v. 18","nef . Il drecierent lor voile , si nagierent tant par haute mer qu' il",ariverent,"en le terre de Provence . Et Nicolete issi fors , si prist se viele",VERcjg,|arriver|
1d824ba9-b99e-44ff-91d6-5c3ceb851c66,"doon, p. 326, v. 80",". A l' ainz qu' il pot , est mer passez , a Sushantone est",arivez,". A la damoisele envoia , par son mesage li manda qu' el païs estoit",VERppe,|ariver|arriver|
a1632e89-c9e6-4023-b6d7-e4db6faf14ad,"doon, p. 327, v. 83",". A la damoisele envoia , par son mesage li manda qu' el païs estoit",arivez,", envoiast li de ses privez qui le deïssent verité q'au jor qu' il lor",VERppe,|ariver|arriver|
